backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
tiny,chip_036_147_merged.tif,0.6,4,1527137746,117,35.7803,35.9237,0.1434
tiny,chip_036_147_merged.tif,0.8,0,1912710985,156,35.4516,36.3935,0.9419
tiny,chip_036_147_merged.tif,0.8,1,1432765467,156,35.8869,34.5609,-1.326
tiny,chip_036_147_merged.tif,0.8,2,1052158836,156,33.1509,36.3457,3.1948
tiny,chip_036_147_merged.tif,0.8,3,671552205,156,35.6601,36.4838,0.8236
tiny,chip_036_147_merged.tif,0.8,4,191606687,156,35.6417,35.525,-0.1167
tiny,chip_037_102_merged.tif,0.2,0,398483738,39,35.791,37.6486,1.8576
tiny,chip_037_102_merged.tif,0.2,1,17877107,39,32.4298,37.8237,5.394
tiny,chip_037_102_merged.tif,0.2,2,1685415237,39,36.5584,38.3977,1.8393
tiny,chip_037_102_merged.tif,0.2,3,1304808606,39,35.7929,37.8293,2.0365
tiny,chip_037_102_merged.tif,0.2,4,824863088,39,35.1827,38.4452,3.2625
tiny,chip_037_102_merged.tif,0.4,0,237868405,78,32.1302,36.2174,4.0872
tiny,chip_037_102_merged.tif,0.4,1,1905406535,78,34.1651,37.6047,3.4396
tiny,chip_037_102_merged.tif,0.4,2,1524799904,78,31.4804,36.2402,4.7598
tiny,chip_037_102_merged.tif,0.4,3,1044854386,78,35.2831,38.1687,2.8857
tiny,chip_037_102_merged.tif,0.4,4,664247755,78,31.2629,37.8807,6.6178
tiny,chip_037_102_merged.tif,0.6,0,1642053846,117,32.3888,37.4873,5.0985
tiny,chip_037_102_merged.tif,0.6,1,1162108328,117,34.6326,34.8948,0.2622
tiny,chip_037_102_merged.tif,0.6,2,781501697,117,33.3278,37.2434,3.9155
tiny,chip_037_102_merged.tif,0.6,3,301556179,117,34.6851,36.9949,2.3099
tiny,chip_037_102_merged.tif,0.6,4,2068433196,117,34.0175,38.0628,4.0453
tiny,chip_037_102_merged.tif,0.8,0,1159461650,156,32.5466,35.743,3.1964
tiny,chip_037_102_merged.tif,0.8,1,778855019,156,32.2409,36.5903,4.3493
