backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
tiny,chip_308_293_merged.tif,0.8,2,2045243111,12,13,0.7959,0.023377,30.7717,0.8115,0.025773,30.267,0.7898
tiny,chip_308_293_merged.tif,0.8,3,1664636480,12,13,0.7959,0.022007,31.1078,0.8158,0.024393,30.5556,0.7936
tiny,chip_308_293_merged.tif,0.8,4,1184690962,12,13,0.7959,0.024348,30.4314,0.8135,0.026231,30.0802,0.7987
tiny,chip_365_309_merged.tif,0.2,0,426458962,3,13,0.199,0.003351,41.6699,0.9778,0.009867,37.0007,0.9358
tiny,chip_365_309_merged.tif,0.2,1,2093997092,3,13,0.199,0.003615,40.5025,0.9802,0.013691,34.4829,0.9303
tiny,chip_365_309_merged.tif,0.2,2,1713390461,3,13,0.199,0.00303,42.7009,0.9823,0.010587,37.0293,0.939
tiny,chip_365_309_merged.tif,0.2,3,1233444943,3,13,0.199,0.003426,40.5774,0.9777,0.013296,34.2964,0.9124
tiny,chip_365_309_merged.tif,0.2,4,852838312,3,13,0.199,0.003071,41.7192,0.9819,0.010456,35.7525,0.9358
tiny,chip_365_309_merged.tif,0.4,0,166504742,6,13,0.398,0.006672,38.0632,0.9563,0.012464,35.1002,0.9169
tiny,chip_365_309_merged.tif,0.4,1,1933381759,6,13,0.398,0.0071,37.241,0.9524,0.01342,34.2427,0.9135
tiny,chip_365_309_merged.tif,0.4,2,1453436241,6,13,0.398,0.006491,38.2091,0.9577,0.012974,34.8402,0.9156
tiny,chip_365_309_merged.tif,0.4,3,1072829610,6,13,0.398,0.007031,37.8689,0.9578,0.013229,34.9184,0.9225
tiny,chip_365_309_merged.tif,0.4,4,692222979,6,13,0.398,0.006272,38.375,0.9561,0.011982,35.4261,0.9177
tiny,chip_365_309_merged.tif,0.6,0,1570690183,9,13,0.5969,0.011693,34.6275,0.9075,0.01572,33.1512,0.8798
tiny,chip_365_309_merged.tif,0.6,1,1190083552,9,13,0.5969,0.010758,35.0642,0.9155,0.013639,34.0329,0.8966
tiny,chip_365_309_merged.tif,0.6,2,809476921,9,13,0.5969,0.011026,35.1655,0.9143,0.014601,33.817,0.8899
tiny,chip_365_309_merged.tif,0.6,3,329531403,9,13,0.5969,0.010968,34.6673,0.9096,0.015745,32.9191,0.8732
tiny,chip_365_309_merged.tif,0.6,4,2096408420,9,13,0.5969,0.010384,35.5084,0.9212,0.013245,34.4832,0.9012
tiny,chip_365_309_merged.tif,0.8,0,1187436874,12,13,0.7959,0.020106,31.4172,0.8313,0.020335,31.514,0.8345
tiny,chip_365_309_merged.tif,0.8,1,707491356,12,13,0.7959,0.018008,31.9121,0.841,0.019761,31.4922,0.8297
tiny,chip_365_309_merged.tif,0.8,2,326884725,12,13,0.7959,0.0182,31.8094,0.8444,0.019804,31.3707,0.8333
tiny,chip_365_309_merged.tif,0.8,3,1994422855,12,13,0.7959,0.01802,31.3199,0.8348,0.0201,30.872,0.8178
tiny,chip_365_309_merged.tif,0.8,4,1613816224,12,13,0.7959,0.018958,31.6974,0.8424,0.020489,31.4559,0.8347
tiny,chip_234_445_merged.tif,0.2,0,182756011,3,13,0.199,0.004786,39.422,0.9594,0.016681,33.8383,0.8581
tiny,chip_234_445_merged.tif,0.2,1,1949633028,3,13,0.199,0.004829,38.7964,0.9581,0.014463,34.1,0.8729
tiny,chip_234_445_merged.tif,0.2,2,1469687510,3,13,0.199,0.004363,39.452,0.9639,0.014415,34.1966,0.8804
tiny,chip_234_445_merged.tif,0.2,3,1089080879,3,13,0.199,0.00512,38.4455,0.9597,0.016387,32.9068,0.8699
tiny,chip_234_445_merged.tif,0.2,4,609135361,3,13,0.199,0.004199,39.71,0.9649,0.014552,34.0887,0.8754
tiny,chip_234_445_merged.tif,0.4,0,22140678,6,13,0.398,0.009198,35.0148,0.9208,0.01783,31.791,0.8488
tiny,chip_234_445_merged.tif,0.4,1,1689678808,6,13,0.398,0.009792,35.5953,0.9181,0.01617,33.3795,0.8683
tiny,chip_234_445_merged.tif,0.4,2,1309072177,6,13,0.398,0.010148,35.3226,0.9157,0.017959,32.6313,0.8512
tiny,chip_234_445_merged.tif,0.4,3,928465546,6,13,0.398,0.009897,35.4131,0.9142,0.018582,32.5057,0.84
tiny,chip_234_445_merged.tif,0.4,4,448520028,6,13,0.398,0.010212,35.0662,0.9122,0.019266,32.0468,0.8419
tiny,chip_234_445_merged.tif,0.6,0,1426326119,9,13,0.5969,0.017188,32.2648,0.8477,0.022477,31.0456,0.8012
tiny,chip_234_445_merged.tif,0.6,1,1045719488,9,13,0.5969,0.014878,33.3449,0.8688,0.019099,32.0876,0.835
tiny,chip_234_445_merged.tif,0.6,2,565773970,9,13,0.5969,0.016562,32.2899,0.8551,0.020573,31.2466,0.8247
tiny,chip_234_445_merged.tif,0.6,3,185167339,9,13,0.5969,0.015985,32.5725,0.8567,0.022244,31.1358,0.8022
tiny,chip_234_445_merged.tif,0.6,4,1852705469,9,13,0.5969,0.015299,33.2678,0.8659,0.021893,31.5846,0.8082
tiny,chip_234_445_merged.tif,0.8,0,943733923,12,13,0.7959,0.02512,29.8474,0.7632,0.027191,29.3873,0.7419
tiny,chip_234_445_merged.tif,0.8,1,563127292,12,13,0.7959,0.024128,30.0127,0.7732,0.026415,29.6586,0.7557
tiny,chip_234_445_merged.tif,0.8,2,83181774,12,13,0.7959,0.024808,29.7684,0.7558,0.02688,29.3212,0.733
tiny,chip_234_445_merged.tif,0.8,3,1850058791,12,13,0.7959,0.025689,29.6769,0.7663,0.027085,29.355,0.7531
tiny,chip_234_445_merged.tif,0.8,4,1370113273,12,13,0.7959,0.027119,29.3104,0.7531,0.029126,28.8963,0.7322
tiny,chip_249_270_merged.tif,0.2,0,756404508,3,13,0.199,0.005999,36.0973,0.9643,0.020801,30.6185,0.8829
tiny,chip_249_270_merged.tif,0.2,1,276458990,3,13,0.199,0.006303,33.8782,0.9571,0.025173,27.1771,0.8327
tiny,chip_249_270_merged.tif,0.2,2,2043336007,3,13,0.199,0.006018,34.621,0.9593,0.023386,28.115,0.8358
