chip,mask_ratio,100M,300M,600M,tiny,rank_tiny,rank_100M,rank_300M,rank_600M,metric
chip_081_345_merged.tif,0.6,31.891219999999997,33.58474,33.940039999999996,30.404059999999998,4.0,3.0,2.0,1.0,block_psnr
chip_081_345_merged.tif,0.8,29.45344,31.496159999999996,32.4297,28.68944,4.0,3.0,2.0,1.0,block_psnr
chip_082_339_merged.tif,0.2,35.31574,35.470240000000004,35.61396,31.56742,4.0,3.0,2.0,1.0,block_psnr
chip_082_339_merged.tif,0.4,34.23838,34.64728,34.6804,29.22448,4.0,3.0,2.0,1.0,block_psnr
chip_082_339_merged.tif,0.6,34.47446,34.82822,35.02792,31.76096,4.0,3.0,2.0,1.0,block_psnr
chip_082_339_merged.tif,0.8,34.201319999999996,34.52168,34.2168,31.543600000000005,4.0,3.0,1.0,2.0,block_psnr
chip_083_175_merged.tif,0.2,31.96478,31.648559999999996,31.1669,30.67036,4.0,1.0,2.0,3.0,block_psnr
chip_083_175_merged.tif,0.4,30.558600000000002,30.27788,29.500940000000003,29.17484,4.0,1.0,2.0,3.0,block_psnr
chip_083_175_merged.tif,0.6,29.8863,29.77948,30.34124,29.021480000000004,4.0,2.0,3.0,1.0,block_psnr
chip_083_175_merged.tif,0.8,29.840359999999997,29.619999999999997,30.20634,29.0394,4.0,2.0,3.0,1.0,block_psnr
chip_083_208_merged.tif,0.2,30.76454,31.095299999999998,30.84898,29.423099999999998,4.0,3.0,1.0,2.0,block_psnr
chip_083_208_merged.tif,0.4,30.496159999999996,30.77394,30.169600000000003,29.37154,4.0,2.0,1.0,3.0,block_psnr
chip_083_208_merged.tif,0.6,29.778859999999998,29.7632,30.14696,28.3707,4.0,2.0,3.0,1.0,block_psnr
chip_083_208_merged.tif,0.8,29.743579999999998,29.920080000000002,30.0277,28.39984,4.0,3.0,2.0,1.0,block_psnr
chip_084_207_merged.tif,0.2,34.5472,34.0862,34.93892,32.8799,4.0,2.0,3.0,1.0,block_psnr
chip_084_207_merged.tif,0.4,33.68442,33.94956,33.98892,30.6719,4.0,3.0,2.0,1.0,block_psnr
chip_084_207_merged.tif,0.6,33.50186,33.755539999999996,33.61358,30.255959999999998,4.0,3.0,1.0,2.0,block_psnr
chip_084_207_merged.tif,0.8,33.483,33.45322,33.5988,29.89022,4.0,2.0,3.0,1.0,block_psnr
chip_085_592_merged.tif,0.2,33.76938,34.35942,34.24162,32.8928,4.0,3.0,1.0,2.0,block_psnr
chip_085_592_merged.tif,0.4,31.777499999999996,32.049040000000005,32.494060000000005,30.9483,4.0,3.0,2.0,1.0,block_psnr
chip_085_592_merged.tif,0.6,31.73958,31.611259999999998,31.65544,31.166680000000003,4.0,1.0,3.0,2.0,block_psnr
chip_085_592_merged.tif,0.8,31.641759999999998,31.4827,31.10002,31.11216,3.0,1.0,2.0,4.0,block_psnr
chip_086_203_merged.tif,0.2,34.800239999999995,34.349579999999996,35.13646,33.58858,4.0,2.0,3.0,1.0,block_psnr
chip_086_203_merged.tif,0.4,33.53802,33.78924,34.77448,31.758879999999998,4.0,3.0,2.0,1.0,block_psnr
chip_086_203_merged.tif,0.6,33.12156,33.50052,33.2792,30.501260000000002,4.0,3.0,1.0,2.0,block_psnr
chip_086_203_merged.tif,0.8,32.919399999999996,33.0833,32.4906,30.340719999999997,4.0,2.0,1.0,3.0,block_psnr
chip_087_268_merged.tif,0.2,40.079319999999996,39.677080000000004,41.89606,36.97578,4.0,2.0,3.0,1.0,block_psnr
chip_087_268_merged.tif,0.4,39.41478,40.20564,41.29056,35.870960000000004,4.0,3.0,2.0,1.0,block_psnr
chip_087_268_merged.tif,0.6,39.997519999999994,40.31176000000001,41.79314,37.11002,4.0,3.0,2.0,1.0,block_psnr
chip_087_268_merged.tif,0.8,37.64806,37.427139999999994,40.59044,34.2881,4.0,2.0,3.0,1.0,block_psnr
chip_087_335_merged.tif,0.2,32.36214,32.97988,33.48891999999999,29.799559999999996,4.0,3.0,2.0,1.0,block_psnr
chip_087_335_merged.tif,0.4,31.572840000000003,32.47542,33.61134,29.24698,4.0,3.0,2.0,1.0,block_psnr
chip_087_335_merged.tif,0.6,30.988400000000002,31.58816,32.06658,28.423019999999998,4.0,3.0,2.0,1.0,block_psnr
chip_087_335_merged.tif,0.8,31.252580000000002,32.1965,31.582099999999997,29.7084,4.0,3.0,1.0,2.0,block_psnr
chip_089_360_merged.tif,0.2,30.82568,30.72298,32.227,29.0406,4.0,2.0,3.0,1.0,block_psnr
chip_089_360_merged.tif,0.4,30.519560000000002,30.56304,31.36142,28.39294,4.0,3.0,2.0,1.0,block_psnr
chip_089_360_merged.tif,0.6,29.874059999999997,29.93162,31.08912,27.715539999999997,4.0,3.0,2.0,1.0,block_psnr
chip_089_360_merged.tif,0.8,29.73682,29.64118,30.73838,27.541199999999996,4.0,2.0,3.0,1.0,block_psnr
chip_091_253_merged.tif,0.2,39.30136,39.57968,39.246719999999996,37.34486,4.0,2.0,1.0,3.0,block_psnr
chip_091_253_merged.tif,0.4,36.989,37.27814,37.72112,34.99136,4.0,3.0,2.0,1.0,block_psnr
chip_091_253_merged.tif,0.6,35.89948,36.44554,36.810199999999995,34.07606,4.0,3.0,2.0,1.0,block_psnr
chip_091_253_merged.tif,0.8,35.36654,35.86796,36.41592,34.37762,4.0,3.0,2.0,1.0,block_psnr
chip_091_324_merged.tif,0.2,33.107060000000004,33.11376,34.19436,30.51874,4.0,3.0,2.0,1.0,block_psnr
chip_091_324_merged.tif,0.4,32.76948,33.08226,33.86368,30.2652,4.0,3.0,2.0,1.0,block_psnr
chip_091_324_merged.tif,0.6,32.663740000000004,33.01874,33.851099999999995,30.40614,4.0,3.0,2.0,1.0,block_psnr
chip_091_324_merged.tif,0.8,32.439820000000005,32.85786,33.10168,30.86414,4.0,3.0,2.0,1.0,block_psnr
