backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
600M,chip_032_183_merged.tif,0.8,1,488545420,208,46.0305,46.0305,0.0,47.7395,47.7395,-0.0,0.003778,0.002904
600M,chip_032_183_merged.tif,0.8,2,107938789,208,42.5256,42.5256,-0.0,47.7584,47.7584,-0.0,0.006042,0.002913
600M,chip_032_183_merged.tif,0.8,3,1775476919,208,46.0316,46.0316,0.0,47.8738,47.8738,-0.0,0.003777,0.002899
600M,chip_032_183_merged.tif,0.8,4,1394870288,208,46.0316,46.0316,0.0,47.8365,47.8365,-0.0,0.003777,0.002876
600M,chip_036_147_merged.tif,0.2,0,1151733073,50,36.5359,36.5359,-0.0,40.5176,40.5176,0.0,0.009163,0.005998
600M,chip_036_147_merged.tif,0.2,1,671787555,50,38.634,38.634,0.0,40.1358,40.1358,-0.0,0.006869,0.006203
600M,chip_036_147_merged.tif,0.2,2,291180924,50,38.4446,38.4446,-0.0,40.4246,40.4246,0.0,0.007249,0.006218
600M,chip_036_147_merged.tif,0.2,3,2058057941,50,41.7483,41.7483,-0.0,39.5008,39.5008,-0.0,0.005529,0.006889
600M,chip_036_147_merged.tif,0.2,4,1578112423,50,38.8955,38.8955,-0.0,40.3707,40.3707,-0.0,0.006665,0.00648
600M,chip_036_147_merged.tif,0.4,0,991117740,100,37.6132,37.6132,0.0,39.8288,39.8288,0.0,0.008189,0.006235
600M,chip_036_147_merged.tif,0.4,1,511172222,100,40.0298,40.0298,-0.0,40.6705,40.6705,-0.0,0.006318,0.005836
600M,chip_036_147_merged.tif,0.4,2,130565591,100,37.0695,37.0695,-0.0,39.9264,39.9264,-0.0,0.008182,0.006293
600M,chip_036_147_merged.tif,0.4,3,1798103721,100,36.8266,36.8266,0.0,39.7117,39.7117,-0.0,0.008573,0.006272
600M,chip_036_147_merged.tif,0.4,4,1417497090,100,37.2415,37.2415,0.0,40.7495,40.7495,0.0,0.008019,0.005898
600M,chip_036_147_merged.tif,0.6,0,1001419509,154,37.2475,37.2475,-0.0,39.7165,39.7165,0.0,0.007583,0.006174
600M,chip_036_147_merged.tif,0.6,1,620812878,154,38.385,38.385,0.0,40.2044,40.2044,0.0,0.00686,0.00614
600M,chip_036_147_merged.tif,0.6,2,240206247,154,38.27,38.27,0.0,39.4664,39.4664,0.0,0.006911,0.006061
600M,chip_036_147_merged.tif,0.6,3,1907744377,154,37.0292,37.0292,-0.0,38.5991,38.5991,-0.0,0.007896,0.006674
600M,chip_036_147_merged.tif,0.6,4,1527137746,154,38.5468,38.5468,-0.0,39.9705,39.9705,0.0,0.006738,0.006158
600M,chip_036_147_merged.tif,0.8,0,1912710985,208,36.7929,36.7929,0.0,39.9001,39.9001,0.0,0.007811,0.006102
600M,chip_036_147_merged.tif,0.8,1,1432765467,208,38.5143,38.5143,-0.0,38.1115,38.1115,-0.0,0.006916,0.006681
600M,chip_036_147_merged.tif,0.8,2,1052158836,208,38.2087,38.2087,0.0,37.9504,37.9504,-0.0,0.0069,0.007076
600M,chip_036_147_merged.tif,0.8,3,671552205,208,38.514,38.514,-0.0,39.1587,39.1587,0.0,0.006917,0.006414
600M,chip_036_147_merged.tif,0.8,4,191606687,208,38.2085,38.2085,0.0,39.2791,39.2791,0.0,0.006901,0.006465
600M,chip_037_102_merged.tif,0.2,0,398483738,50,37.893,37.893,-0.0,42.5565,42.5565,-0.0,0.008272,0.005142
600M,chip_037_102_merged.tif,0.2,1,17877107,50,36.349,36.349,0.0,41.5872,41.5872,0.0,0.008348,0.005632
600M,chip_037_102_merged.tif,0.2,2,1685415237,50,38.3449,38.3449,-0.0,42.3959,42.3959,0.0,0.006905,0.005209
600M,chip_037_102_merged.tif,0.2,3,1304808606,50,37.8958,37.8958,-0.0,42.4155,42.4155,0.0,0.00827,0.005169
600M,chip_037_102_merged.tif,0.2,4,824863088,50,31.8267,31.8267,-0.0,42.1121,42.1121,-0.0,0.013861,0.005439
600M,chip_037_102_merged.tif,0.4,0,237868405,100,33.1279,33.1279,0.0,41.5586,41.5586,-0.0,0.011177,0.005604
600M,chip_037_102_merged.tif,0.4,1,1905406535,100,32.4882,32.4882,0.0,40.5374,40.5374,0.0,0.012421,0.005992
600M,chip_037_102_merged.tif,0.4,2,1524799904,100,33.1276,33.1276,-0.0,42.0174,42.0174,-0.0,0.011177,0.005142
600M,chip_037_102_merged.tif,0.4,3,1044854386,100,33.3243,33.3243,0.0,42.2762,42.2762,0.0,0.010993,0.005132
600M,chip_037_102_merged.tif,0.4,4,664247755,100,33.6809,33.6809,-0.0,39.2319,39.2319,0.0,0.010393,0.006366
600M,chip_037_102_merged.tif,0.6,0,1642053846,154,32.9295,32.9295,-0.0,40.6262,40.6262,-0.0,0.012189,0.005872
600M,chip_037_102_merged.tif,0.6,1,1162108328,154,33.5631,33.5631,-0.0,40.351,40.351,0.0,0.011469,0.005908
600M,chip_037_102_merged.tif,0.6,2,781501697,154,34.5721,34.5721,0.0,40.3331,40.3331,-0.0,0.010029,0.005849
600M,chip_037_102_merged.tif,0.6,3,301556179,154,33.2719,33.2719,-0.0,41.0193,41.0193,-0.0,0.011989,0.005792
600M,chip_037_102_merged.tif,0.6,4,2068433196,154,34.2124,34.2124,-0.0,39.961,39.961,0.0,0.011001,0.006175
600M,chip_037_102_merged.tif,0.8,0,1159461650,208,32.9924,32.9924,-0.0,38.7952,38.7952,-0.0,0.013032,0.006928
600M,chip_037_102_merged.tif,0.8,1,778855019,208,32.0565,32.0565,-0.0,37.7873,37.7873,-0.0,0.014021,0.007521
600M,chip_037_102_merged.tif,0.8,2,298909501,208,30.9447,30.9447,0.0,37.0725,37.0725,0.0,0.015933,0.008114
600M,chip_037_102_merged.tif,0.8,3,2065786518,208,30.9457,30.9457,0.0,38.2735,38.2735,-0.0,0.015931,0.007164
600M,chip_037_102_merged.tif,0.8,4,1585841000,208,32.992,32.992,0.0,36.0675,36.0675,0.0,0.013033,0.007939
600M,chip_038_107_merged.tif,0.2,0,1677005883,50,37.0772,37.0772,0.0,39.2187,39.2187,-0.0,0.008964,0.007072
600M,chip_038_107_merged.tif,0.2,1,1296399252,50,37.3282,37.3282,0.0,40.2114,40.2114,-0.0,0.009408,0.006501
600M,chip_038_107_merged.tif,0.2,2,816453734,50,34.9977,34.9977,-0.0,39.4662,39.4662,-0.0,0.011072,0.00694
600M,chip_038_107_merged.tif,0.2,3,435847103,50,36.9573,36.9573,0.0,39.9324,39.9324,0.0,0.009344,0.006602
600M,chip_038_107_merged.tif,0.2,4,55240472,50,37.6427,37.6427,-0.0,40.3671,40.3671,-0.0,0.008899,0.006582
600M,chip_038_107_merged.tif,0.4,0,711069700,100,35.1367,35.1367,-0.0,39.6251,39.6251,-0.0,0.010851,0.006865
600M,chip_038_107_merged.tif,0.4,1,231124182,100,34.6516,34.6516,0.0,38.9637,38.9637,-0.0,0.012561,0.007191
600M,chip_038_107_merged.tif,0.4,2,1998001199,100,35.698,35.698,0.0,39.5696,39.5696,-0.0,0.010377,0.006785
600M,chip_038_107_merged.tif,0.4,3,1617394568,100,35.9688,35.9688,0.0,38.2124,38.2124,0.0,0.010642,0.007611
600M,chip_038_107_merged.tif,0.4,4,1137449050,100,35.9645,35.9645,-0.0,38.9379,38.9379,-0.0,0.01057,0.007148
600M,chip_038_107_merged.tif,0.6,0,2115255141,154,33.8716,33.8716,0.0,38.9219,38.9219,-0.0,0.011598,0.007271
600M,chip_038_107_merged.tif,0.6,1,1635309623,154,35.6077,35.6077,-0.0,38.0507,38.0507,-0.0,0.010662,0.007651
600M,chip_038_107_merged.tif,0.6,2,1254702992,154,33.8715,33.8715,-0.0,37.9284,37.9284,0.0,0.011599,0.007892
600M,chip_038_107_merged.tif,0.6,3,874096361,154,36.0074,36.0074,0.0,35.9189,35.9189,0.0,0.010694,0.008337
600M,chip_038_107_merged.tif,0.6,4,394150843,154,35.153,35.153,0.0,38.5459,38.5459,-0.0,0.011296,0.007419
600M,chip_038_107_merged.tif,0.8,0,1632662945,208,34.4401,34.4401,-0.0,37.4514,37.4514,-0.0,0.012353,0.008458
600M,chip_038_107_merged.tif,0.8,1,1252056314,208,34.4396,34.4396,-0.0,36.9381,36.9381,-0.0,0.012353,0.008965
600M,chip_038_107_merged.tif,0.8,2,772110796,208,27.8449,27.8449,0.0,35.2835,35.2835,0.0,0.025166,0.010047
600M,chip_038_107_merged.tif,0.8,3,391504165,208,34.4402,34.4402,0.0,36.685,36.685,-0.0,0.012353,0.008823
600M,chip_038_107_merged.tif,0.8,4,2059042295,208,33.4711,33.4711,0.0,36.1971,36.1971,0.0,0.013016,0.008696
600M,chip_039_108_merged.tif,0.2,0,37686692,50,31.3385,31.3385,0.0,39.358,39.358,0.0,0.017707,0.007477
600M,chip_039_108_merged.tif,0.2,1,1804563709,50,31.6515,31.6515,0.0,39.5046,39.5046,-0.0,0.016084,0.007227
600M,chip_039_108_merged.tif,0.2,2,1324618191,50,33.7851,33.7851,-0.0,39.6724,39.6724,0.0,0.012652,0.007231
600M,chip_039_108_merged.tif,0.2,3,944011560,50,32.1337,32.1337,0.0,38.3595,38.3595,-0.0,0.016698,0.0081
600M,chip_039_108_merged.tif,0.2,4,464066042,50,35.022,35.022,0.0,39.3098,39.3098,-0.0,0.011037,0.007472
600M,chip_039_108_merged.tif,0.4,0,2024555007,100,32.9779,32.9779,0.0,39.099,39.099,-0.0,0.015573,0.007646
600M,chip_039_108_merged.tif,0.4,1,1544609489,100,28.5776,28.5776,0.0,38.47,38.47,0.0,0.02639,0.00784
600M,chip_039_108_merged.tif,0.4,2,1164002858,100,32.1319,32.1319,-0.0,38.8721,38.8721,-0.0,0.015484,0.007717
600M,chip_039_108_merged.tif,0.4,3,783396227,100,29.1354,29.1354,-0.0,39.1099,39.1099,0.0,0.017907,0.007343
600M,chip_039_108_merged.tif,0.4,4,303450709,100,29.6129,29.6129,0.0,38.8006,38.8006,0.0,0.017875,0.007764
600M,chip_039_108_merged.tif,0.6,0,1281256800,154,29.8594,29.8594,0.0,38.8276,38.8276,0.0,0.018208,0.00771
600M,chip_039_108_merged.tif,0.6,1,900650169,154,30.4319,30.4319,-0.0,38.2009,38.2009,-0.0,0.017858,0.008139
600M,chip_039_108_merged.tif,0.6,2,420704651,154,29.8337,29.8337,0.0,38.5587,38.5587,-0.0,0.017998,0.007854
600M,chip_039_108_merged.tif,0.6,3,40098020,154,29.8337,29.8337,0.0,38.7541,38.7541,-0.0,0.017999,0.007771
600M,chip_039_108_merged.tif,0.6,4,1707636150,154,29.4147,29.4147,-0.0,38.2851,38.2851,-0.0,0.020727,0.008022
600M,chip_039_108_merged.tif,0.8,0,798664604,208,24.179,24.179,-0.0,34.5368,34.5368,-0.0,0.041663,0.010979
600M,chip_039_108_merged.tif,0.8,1,418057973,208,29.6964,29.6964,0.0,35.9076,35.9076,-0.0,0.02026,0.010595
600M,chip_039_108_merged.tif,0.8,2,2085596103,208,29.696,29.696,0.0,34.5358,34.5358,-0.0,0.020261,0.01064
600M,chip_039_108_merged.tif,0.8,3,1704989472,208,24.18,24.18,-0.0,36.7082,36.7082,-0.0,0.041658,0.009643
600M,chip_039_108_merged.tif,0.8,4,1225043954,208,29.6752,29.6752,-0.0,36.2488,36.2488,-0.0,0.020366,0.009559
600M,chip_039_111_merged.tif,0.2,0,1727264021,50,36.4432,36.4432,-0.0,39.2276,39.2276,0.0,0.008819,0.006772
600M,chip_039_111_merged.tif,0.2,1,1346657390,50,37.4905,37.4905,0.0,40.1655,40.1655,-0.0,0.008277,0.006659
600M,chip_039_111_merged.tif,0.2,2,866711872,50,38.3666,38.3666,0.0,39.626,39.626,0.0,0.007562,0.006602
600M,chip_039_111_merged.tif,0.2,3,486105241,50,38.3319,38.3319,0.0,40.3061,40.3061,-0.0,0.007502,0.006358
600M,chip_039_111_merged.tif,0.2,4,105498610,50,38.3684,38.3684,0.0,39.6826,39.6826,0.0,0.007561,0.006743
600M,chip_039_111_merged.tif,0.4,0,1566648688,100,38.8176,38.8176,0.0,40.3571,40.3571,-0.0,0.007226,0.006268
600M,chip_039_111_merged.tif,0.4,1,1186042057,100,38.0723,38.0723,-0.0,39.003,39.003,0.0,0.007295,0.007015
600M,chip_039_111_merged.tif,0.4,2,706096539,100,35.8964,35.8964,0.0,39.0894,39.0894,0.0,0.009156,0.006928
600M,chip_039_111_merged.tif,0.4,3,325489908,100,37.9748,37.9748,0.0,39.8992,39.8992,-0.0,0.008109,0.00647
600M,chip_039_111_merged.tif,0.4,4,1993028038,100,38.598,38.598,-0.0,40.0387,40.0387,-0.0,0.007265,0.00633
600M,chip_039_111_merged.tif,0.6,0,823350481,154,37.2914,37.2914,0.0,38.0324,38.0324,0.0,0.008031,0.007244
600M,chip_039_111_merged.tif,0.6,1,442743850,154,38.0804,38.0804,0.0,38.6714,38.6714,-0.0,0.007629,0.007303
600M,chip_039_111_merged.tif,0.6,2,2110281980,154,37.3425,37.3425,-0.0,39.5146,39.5146,0.0,0.007655,0.006676
600M,chip_039_111_merged.tif,0.6,3,1729675349,154,38.1766,38.1766,-0.0,38.7125,38.7125,0.0,0.007377,0.007135
600M,chip_039_111_merged.tif,0.6,4,1249729831,154,37.2054,37.2054,0.0,39.3389,39.3389,0.0,0.008221,0.006902
600M,chip_039_111_merged.tif,0.8,0,340758285,208,35.264,35.264,0.0,37.4581,37.4581,0.0,0.010185,0.007857
600M,chip_039_111_merged.tif,0.8,1,2107635302,208,36.1783,36.1783,0.0,38.099,38.099,-0.0,0.009085,0.007565
600M,chip_039_111_merged.tif,0.8,2,1627689784,208,36.1788,36.1788,-0.0,37.8315,37.8315,-0.0,0.009084,0.007755
600M,chip_039_111_merged.tif,0.8,3,1247083153,208,35.2643,35.2643,-0.0,37.2496,37.2496,-0.0,0.010185,0.00819
600M,chip_039_111_merged.tif,0.8,4,767137635,208,36.1785,36.1785,-0.0,38.0329,38.0329,-0.0,0.009085,0.007721
600M,chip_042_092_merged.tif,0.2,0,406649076,50,37.7065,37.7065,-0.0,40.4363,40.4363,0.0,0.008529,0.006042
600M,chip_042_092_merged.tif,0.2,1,2074187206,50,38.4044,38.4044,0.0,40.2092,40.2092,-0.0,0.008127,0.006359
600M,chip_042_092_merged.tif,0.2,2,1693580575,50,34.5701,34.5701,0.0,40.2907,40.2907,-0.0,0.010424,0.006082
600M,chip_042_092_merged.tif,0.2,3,1312973944,50,29.7431,29.7431,-0.0,38.9108,38.9108,0.0,0.018005,0.007129
600M,chip_042_092_merged.tif,0.2,4,833028426,50,29.3421,29.3421,0.0,40.1937,40.1937,-0.0,0.016987,0.006117
600M,chip_042_092_merged.tif,0.4,0,1488857654,100,32.7367,32.7367,-0.0,39.3264,39.3264,0.0,0.013087,0.006275
600M,chip_042_092_merged.tif,0.4,1,1108251023,100,31.8602,31.8602,-0.0,35.442,35.442,-0.0,0.01407,0.008473
600M,chip_042_092_merged.tif,0.4,2,727644392,100,37.0961,37.0961,-0.0,39.5448,39.5448,-0.0,0.008905,0.006165
