backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_036_147_merged.tif,0.8,0,1912710985,208,36.7929,39.9001,3.1072
600M,chip_036_147_merged.tif,0.8,1,1432765467,208,38.5143,38.1115,-0.4028
600M,chip_036_147_merged.tif,0.8,2,1052158836,208,38.2087,37.9504,-0.2584
600M,chip_036_147_merged.tif,0.8,3,671552205,208,38.514,39.1587,0.6447
600M,chip_036_147_merged.tif,0.8,4,191606687,208,38.2085,39.2791,1.0706
600M,chip_037_102_merged.tif,0.2,0,398483738,50,37.893,42.5565,4.6635
600M,chip_037_102_merged.tif,0.2,1,17877107,50,36.349,41.5872,5.2382
600M,chip_037_102_merged.tif,0.2,2,1685415237,50,38.3449,42.3959,4.051
600M,chip_037_102_merged.tif,0.2,3,1304808606,50,37.8958,42.4155,4.5197
600M,chip_037_102_merged.tif,0.2,4,824863088,50,31.8267,42.1121,10.2854
600M,chip_037_102_merged.tif,0.4,0,237868405,100,33.1279,41.5586,8.4307
600M,chip_037_102_merged.tif,0.4,1,1905406535,100,32.4882,40.5374,8.0492
600M,chip_037_102_merged.tif,0.4,2,1524799904,100,33.1276,42.0174,8.8898
600M,chip_037_102_merged.tif,0.4,3,1044854386,100,33.3243,42.2762,8.9519
600M,chip_037_102_merged.tif,0.4,4,664247755,100,33.6809,39.2319,5.5511
600M,chip_037_102_merged.tif,0.6,0,1642053846,154,32.9295,40.6262,7.6967
600M,chip_037_102_merged.tif,0.6,1,1162108328,154,33.5631,40.351,6.788
600M,chip_037_102_merged.tif,0.6,2,781501697,154,34.5721,40.3331,5.761
600M,chip_037_102_merged.tif,0.6,3,301556179,154,33.2719,41.0193,7.7474
600M,chip_037_102_merged.tif,0.6,4,2068433196,154,34.2124,39.961,5.7486
600M,chip_037_102_merged.tif,0.8,0,1159461650,208,32.9924,38.7952,5.8028
600M,chip_037_102_merged.tif,0.8,1,778855019,208,32.0565,37.7873,5.7308
600M,chip_037_102_merged.tif,0.8,2,298909501,208,30.9447,37.0725,6.1278
600M,chip_037_102_merged.tif,0.8,3,2065786518,208,30.9457,38.2735,7.3278
600M,chip_037_102_merged.tif,0.8,4,1585841000,208,32.992,36.0675,3.0755
600M,chip_038_107_merged.tif,0.2,0,1677005883,50,37.0772,39.2187,2.1415
600M,chip_038_107_merged.tif,0.2,1,1296399252,50,37.3282,40.2114,2.8831
600M,chip_038_107_merged.tif,0.2,2,816453734,50,34.9977,39.4662,4.4685
600M,chip_038_107_merged.tif,0.2,3,435847103,50,36.9573,39.9324,2.9751
600M,chip_038_107_merged.tif,0.2,4,55240472,50,37.6427,40.3671,2.7244
600M,chip_038_107_merged.tif,0.4,0,711069700,100,35.1367,39.6251,4.4884
600M,chip_038_107_merged.tif,0.4,1,231124182,100,34.6516,38.9637,4.3121
600M,chip_038_107_merged.tif,0.4,2,1998001199,100,35.698,39.5696,3.8715
600M,chip_038_107_merged.tif,0.4,3,1617394568,100,35.9688,38.2124,2.2436
600M,chip_038_107_merged.tif,0.4,4,1137449050,100,35.9645,38.9379,2.9734
600M,chip_038_107_merged.tif,0.6,0,2115255141,154,33.8716,38.9219,5.0502
600M,chip_038_107_merged.tif,0.6,1,1635309623,154,35.6077,38.0507,2.443
600M,chip_038_107_merged.tif,0.6,2,1254702992,154,33.8715,37.9284,4.057
600M,chip_038_107_merged.tif,0.6,3,874096361,154,36.0074,35.9189,-0.0885
600M,chip_038_107_merged.tif,0.6,4,394150843,154,35.153,38.5459,3.3929
600M,chip_038_107_merged.tif,0.8,0,1632662945,208,34.4401,37.4514,3.0113
600M,chip_038_107_merged.tif,0.8,1,1252056314,208,34.4396,36.9381,2.4985
600M,chip_038_107_merged.tif,0.8,2,772110796,208,27.8449,35.2835,7.4386
