backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
tiny,chip_038_107_merged.tif,0.2,2,816453734,39,33.7613,33.7613,-0.0,37.209,37.209,0.0,0.014711,0.009586
tiny,chip_038_107_merged.tif,0.2,3,435847103,39,35.6478,35.6478,0.0,35.6762,35.6762,0.0,0.011308,0.01051
tiny,chip_038_107_merged.tif,0.2,4,55240472,39,30.2965,30.2965,-0.0,36.5697,36.5697,0.0,0.017256,0.010365
tiny,chip_038_107_merged.tif,0.4,0,711069700,78,30.1521,30.1521,0.0,37.0856,37.0856,-0.0,0.016514,0.009543
tiny,chip_038_107_merged.tif,0.4,1,231124182,78,33.7892,33.7892,0.0,35.8545,35.8545,0.0,0.013736,0.010172
tiny,chip_038_107_merged.tif,0.4,2,1998001199,78,30.152,30.152,0.0,36.6677,36.6677,-0.0,0.016513,0.009578
tiny,chip_038_107_merged.tif,0.4,3,1617394568,78,32.413,32.413,0.0,36.8054,36.8054,-0.0,0.014305,0.009687
tiny,chip_038_107_merged.tif,0.4,4,1137449050,78,30.1752,30.1752,0.0,36.385,36.385,-0.0,0.016553,0.009859
tiny,chip_038_107_merged.tif,0.6,0,2115255141,117,31.1268,31.1268,-0.0,35.2272,35.2272,0.0,0.016789,0.011107
tiny,chip_038_107_merged.tif,0.6,1,1635309623,117,33.4614,33.4614,-0.0,35.792,35.792,0.0,0.014384,0.010583
tiny,chip_038_107_merged.tif,0.6,2,1254702992,117,30.9909,30.9909,-0.0,36.6443,36.6443,0.0,0.017045,0.009967
tiny,chip_038_107_merged.tif,0.6,3,874096361,117,33.021,33.021,0.0,36.5155,36.5155,0.0,0.014486,0.010086
tiny,chip_038_107_merged.tif,0.6,4,394150843,117,33.4914,33.4914,0.0,36.4709,36.4709,0.0,0.014345,0.009948
tiny,chip_038_107_merged.tif,0.8,0,1632662945,156,34.0474,34.0474,0.0,35.8909,35.8909,0.0,0.01353,0.010665
tiny,chip_038_107_merged.tif,0.8,1,1252056314,156,33.4487,33.4487,0.0,34.4816,34.4816,-0.0,0.013907,0.011815
tiny,chip_038_107_merged.tif,0.8,2,772110796,156,31.6833,31.6833,0.0,34.6986,34.6986,-0.0,0.015724,0.011511
tiny,chip_038_107_merged.tif,0.8,3,391504165,156,33.2712,33.2712,-0.0,35.2842,35.2842,-0.0,0.014122,0.011418
tiny,chip_038_107_merged.tif,0.8,4,2059042295,156,31.6815,31.6815,0.0,34.9502,34.9502,0.0,0.015689,0.011212
tiny,chip_039_108_merged.tif,0.2,0,37686692,39,29.3657,29.3657,0.0,35.7653,35.7653,-0.0,0.022153,0.010678
tiny,chip_039_108_merged.tif,0.2,1,1804563709,39,29.3635,29.3635,-0.0,36.0883,36.0883,0.0,0.022158,0.010774
tiny,chip_039_108_merged.tif,0.2,2,1324618191,39,34.1765,34.1765,0.0,36.1489,36.1489,0.0,0.01373,0.010719
tiny,chip_039_108_merged.tif,0.2,3,944011560,39,32.1625,32.1625,-0.0,35.7156,35.7156,-0.0,0.016116,0.01109
tiny,chip_039_108_merged.tif,0.2,4,464066042,39,30.9216,30.9216,-0.0,36.6184,36.6184,-0.0,0.019432,0.010091
tiny,chip_039_108_merged.tif,0.4,0,2024555007,78,27.9672,27.9672,0.0,36.4473,36.4473,0.0,0.025149,0.010102
