chip,mask_ratio,trial,block_psnr,random_psnr
chip_268_410,0.4,30,31.322878005800682,34.4984543023852
chip_268_410,0.4,31,29.292562280982324,35.20350629048373
chip_268_410,0.4,32,30.011275826475703,36.24345505957358
chip_268_410,0.4,33,29.582801888392773,35.8987101934351
chip_268_410,0.4,34,30.252844492998253,35.86057078720652
chip_268_410,0.4,35,30.115045466123437,35.43835194598209
chip_268_410,0.4,36,30.012350079797567,36.17284691419293
chip_268_410,0.4,37,28.710574951706356,35.601728977980834
chip_268_410,0.4,38,31.17073770074398,36.12877224576064
chip_268_410,0.4,39,29.65993076512921,35.86776091922093
chip_268_410,0.4,40,31.707310090566434,35.870261208964145
chip_268_410,0.4,41,29.76934335341033,35.66773286619414
chip_268_410,0.4,42,29.43240348426238,36.35392576701914
chip_268_410,0.4,43,28.865913403167752,35.78799049184502
chip_268_410,0.4,44,31.321835991351588,35.294844644673645
chip_268_410,0.4,45,28.002486655224498,36.156638845367205
chip_268_410,0.4,46,30.2232104084949,35.929397392571765
chip_268_410,0.4,47,28.92138404362129,36.02892607849139
chip_268_410,0.4,48,29.707471278480195,36.12214751959606
chip_268_410,0.4,49,28.00173950630001,35.988624165293096
chip_268_410,0.6,0,29.197573332360722,34.305701162442205
chip_268_410,0.6,1,30.045385391461018,33.30662220367398
chip_268_410,0.6,2,30.42929772182226,34.85226587887461
chip_268_410,0.6,3,30.13858413774399,33.98401927800849
chip_268_410,0.6,4,30.429301070517646,33.96957704744438
chip_268_410,0.6,5,28.930570171228037,33.915864232001326
chip_268_410,0.6,6,28.72712412656489,33.95501394439946
chip_268_410,0.6,7,28.535409115191538,33.87672449568261
chip_268_410,0.6,8,29.328494216746748,35.22946646921524
chip_268_410,0.6,9,28.800855791350912,33.69176340991047
chip_268_410,0.6,10,30.290619756995973,33.12741839353173
chip_268_410,0.6,11,29.197562404765762,34.045412148196064
chip_268_410,0.6,12,29.19859350241549,34.37236417381709
chip_268_410,0.6,13,29.709207676682734,34.953126920864015
chip_268_410,0.6,14,29.708984974233154,33.59707176510999
chip_268_410,0.6,15,30.13865303949272,35.175586434102875
chip_268_410,0.6,16,29.710176636188287,32.58994270967157
chip_268_410,0.6,17,30.429403765096726,34.44007520055016
chip_268_410,0.6,18,28.727957316934955,35.35449070120745
chip_268_410,0.6,19,28.800598786106306,34.33572372270965
chip_268_410,0.6,20,29.709082375597937,33.99647795940846
chip_268_410,0.6,21,29.441408587193916,34.56642429861208
chip_268_410,0.6,22,28.536078556876333,34.15481937976
chip_268_410,0.6,23,29.442039470814866,33.067986238510244
chip_268_410,0.6,24,30.290972767202092,33.30851684674383
chip_268_410,0.6,25,28.684516317974833,34.507959921058806
chip_268_410,0.6,26,28.800017319925143,33.52027746439602
chip_268_410,0.6,27,30.290641109784225,32.77560691416286
chip_268_410,0.6,28,30.866590573218346,35.21231243846594
chip_268_410,0.6,29,29.197751119787565,34.99072379878034
chip_268_410,0.6,30,28.684610431346517,34.82808401969643
chip_268_410,0.6,31,28.590934374082735,33.42114266624745
chip_268_410,0.6,32,28.68477662859075,33.93966749118001
chip_268_410,0.6,33,30.180235130388738,33.06488509286359
chip_268_410,0.6,34,28.590504932310775,33.19267421596318
chip_268_410,0.6,35,28.53459690160576,34.79597889721979
chip_268_410,0.6,36,29.676063481464112,33.75764767994701
chip_268_410,0.6,37,30.42944088085452,34.62451431037898
chip_268_410,0.6,38,28.590939125590925,32.77572187294116
chip_268_410,0.6,39,30.13849592422197,35.012361241374926
chip_268_410,0.6,40,29.327932450342068,34.62788608836994
chip_268_410,0.6,41,30.290688680930472,33.275067293921495
chip_268_410,0.6,42,28.800405850372478,34.89513246461969
chip_268_410,0.6,43,28.930489939989247,34.406643800748796
chip_268_410,0.6,44,30.290284342795758,34.35991866323454
chip_268_410,0.6,45,29.673314099701326,34.37790201608222
chip_268_410,0.6,46,30.29072706257601,34.853270845526126
chip_268_410,0.6,47,29.32723261791191,32.403288044269026
chip_268_410,0.6,48,30.045033908839002,33.93389095396503
chip_268_410,0.6,49,28.930655542055565,34.54876076827483
chip_268_410,0.8,0,29.20477976157315,31.960469547444017
chip_268_410,0.8,1,29.434769195677973,31.956207257414817
chip_268_410,0.8,2,28.55028636745098,31.055109648635423
chip_268_410,0.8,3,28.549665780157753,32.66459438398882
chip_268_410,0.8,4,28.549563322990316,32.38307365658137
chip_268_410,0.8,5,29.43555716467296,32.4828246027179
chip_268_410,0.8,6,28.550333440117136,31.26760870729271
chip_268_410,0.8,7,29.43540577474569,31.78416673982546
chip_268_410,0.8,8,29.20436005419552,32.46091100271926
chip_268_410,0.8,9,29.434543263619272,31.798333259717516
chip_268_410,0.8,10,28.24875649215009,32.839528075929806
chip_268_410,0.8,11,28.54977005000412,31.769150362726094
chip_268_410,0.8,12,29.204399202717095,32.11505001927593
chip_268_410,0.8,13,28.549864184654528,31.65739279232878
chip_268_410,0.8,14,28.54983015112235,31.97584589146497
chip_268_410,0.8,15,28.550279849737418,32.245208616386506
chip_268_410,0.8,16,28.249145326719333,30.7621544947689
chip_268_410,0.8,17,28.249835585382762,31.876657677549023
chip_268_410,0.8,18,28.54966867650857,32.887693553681785
chip_268_410,0.8,19,28.250038325363207,30.621761123095595
chip_268_410,0.8,20,29.43496450987663,31.56743677687524
chip_268_410,0.8,21,29.43485353482256,31.26588114110759
chip_268_410,0.8,22,29.43555094914684,33.12550973917072
chip_268_410,0.8,23,28.249506153099055,32.69874147622238
chip_268_410,0.8,24,29.204797022223307,30.753129496717435
chip_268_410,0.8,25,29.2045469599941,32.210780585522826
chip_268_410,0.8,26,29.435694796459167,32.564314913228564
chip_268_410,0.8,27,29.434301808950323,31.105290610814556
chip_268_410,0.8,28,28.249394658601474,32.4992657016873
chip_268_410,0.8,29,29.205040783608062,31.945789987717713
chip_268_410,0.8,30,28.249101407951883,30.728131843778538
chip_268_410,0.8,31,28.550267900621293,32.18457978605663
chip_268_410,0.8,32,29.203958065600414,31.345711070241702
chip_268_410,0.8,33,28.550297954521465,31.768984345699568
chip_268_410,0.8,34,28.24982984122119,32.342803145083614
chip_268_410,0.8,35,28.550153480446717,31.498135720548333
chip_268_410,0.8,36,28.55033706111259,30.650271602785292
chip_268_410,0.8,37,29.435111889132028,33.444816124429856
chip_268_410,0.8,38,28.550446778706462,32.345293334969924
chip_268_410,0.8,39,28.248940601485923,32.66406261741751
chip_268_410,0.8,40,28.24901188260904,32.48396296207558
chip_268_410,0.8,41,28.55005608083794,30.67711971959625
chip_268_410,0.8,42,28.249915328645862,33.02123668045313
chip_268_410,0.8,43,28.54990944242429,32.10777425051567
chip_268_410,0.8,44,29.205009207527795,32.03626619197291
chip_268_410,0.8,45,29.434905026895017,31.369385127759838
chip_268_410,0.8,46,29.20520498292635,31.144584568684223
chip_268_410,0.8,47,28.54984246109256,32.3339810181858
chip_268_410,0.8,48,29.20511193588377,31.241636211273022
chip_268_410,0.8,49,29.4348064822557,31.173929788757082
chip_105_452,0.2,0,38.434322494121425,35.487262839003336
chip_105_452,0.2,1,38.22621387652587,36.85348058768299
chip_105_452,0.2,2,37.17480647899552,36.58221667943291
chip_105_452,0.2,3,37.47782498943436,33.33204161805808
chip_105_452,0.2,4,37.55940838532315,39.615343805609854
chip_105_452,0.2,5,38.67196058946006,36.44972294840627
chip_105_452,0.2,6,38.11274826941611,38.22709780227663
chip_105_452,0.2,7,38.723212268613175,32.483413897061716
chip_105_452,0.2,8,37.89377202710743,36.48410805595886
chip_105_452,0.2,9,36.78945627509555,31.95349753586118
chip_105_452,0.2,10,38.65258453914678,35.573348524713595
chip_105_452,0.2,11,36.81967388972606,38.55489312535316
chip_105_452,0.2,12,34.03070166508146,39.23214355916192
chip_105_452,0.2,13,37.89419891087579,38.677659934246094
chip_105_452,0.2,14,38.65222541329638,31.95332114933631
chip_105_452,0.2,15,35.34101852729535,38.1698485545181
chip_105_452,0.2,16,26.42027521115383,29.212834040470128
chip_105_452,0.2,17,37.415168756866784,36.776143187565864
chip_105_452,0.2,18,37.17304563999672,34.02155889635346
chip_105_452,0.2,19,39.46046130940879,32.805408618041305
chip_105_452,0.2,20,29.56342511285504,36.531707053734145
chip_105_452,0.2,21,38.11225843538673,39.74287116733323
chip_105_452,0.2,22,36.808749028332976,38.19138776212074
chip_105_452,0.2,23,38.65188624040708,36.06225787065639
chip_105_452,0.2,24,34.921142085168,35.726840107569195
chip_105_452,0.2,25,38.672993611241154,37.16643131947984
chip_105_452,0.2,26,38.2261491856038,35.8006656083281
chip_105_452,0.2,27,38.64124171371081,35.46298932171193
chip_105_452,0.2,28,38.67195360727371,38.659931586108726
chip_105_452,0.2,29,31.818624745961394,36.79647314731825
chip_105_452,0.2,30,38.12438055288752,36.16510262394398
chip_105_452,0.2,31,38.59297269998922,38.40496291454065
chip_105_452,0.2,32,35.49623806655197,35.80231059838043
chip_105_452,0.2,33,39.08434753562831,37.542214034065594
chip_105_452,0.2,34,37.8657581134958,34.58679180923749
chip_105_452,0.2,35,37.86631835680175,37.70752576517492
chip_105_452,0.2,36,37.74053114238862,36.24857017780111
chip_105_452,0.2,37,39.055166670279164,35.89973085994258
chip_105_452,0.2,38,38.23258014178867,37.239609967632994
chip_105_452,0.2,39,37.17399734729503,36.71967607319917
chip_105_452,0.2,40,38.74159725154572,37.97761716398456
