chip,ratio,trial,psnr
chip_268_410_merged.tif,0.2,31,36.2315
chip_268_410_merged.tif,0.2,32,36.415
chip_268_410_merged.tif,0.2,33,37.1431
chip_268_410_merged.tif,0.2,34,35.231
chip_268_410_merged.tif,0.2,35,35.1654
chip_268_410_merged.tif,0.2,36,35.4312
chip_268_410_merged.tif,0.2,37,38.625
chip_268_410_merged.tif,0.2,38,36.1472
chip_268_410_merged.tif,0.2,39,37.2982
chip_268_410_merged.tif,0.2,40,35.7229
chip_268_410_merged.tif,0.2,41,37.24
chip_268_410_merged.tif,0.2,42,40.5869
chip_268_410_merged.tif,0.2,43,34.397
chip_268_410_merged.tif,0.2,44,37.0301
chip_268_410_merged.tif,0.2,45,37.2982
chip_268_410_merged.tif,0.2,46,36.2315
chip_268_410_merged.tif,0.2,47,40.5869
chip_268_410_merged.tif,0.2,48,35.1654
chip_268_410_merged.tif,0.2,49,37.1
chip_268_410_merged.tif,0.4,0,31.2829
chip_268_410_merged.tif,0.4,1,30.5351
chip_268_410_merged.tif,0.4,2,31.121
chip_268_410_merged.tif,0.4,3,30.9749
chip_268_410_merged.tif,0.4,4,30.9375
chip_268_410_merged.tif,0.4,5,31.1604
chip_268_410_merged.tif,0.4,6,30.5351
chip_268_410_merged.tif,0.4,7,31.4676
chip_268_410_merged.tif,0.4,8,30.8121
chip_268_410_merged.tif,0.4,9,30.5376
chip_268_410_merged.tif,0.4,10,30.9375
chip_268_410_merged.tif,0.4,11,29.9671
chip_268_410_merged.tif,0.4,12,30.2705
chip_268_410_merged.tif,0.4,13,31.7991
chip_268_410_merged.tif,0.4,14,31.3978
chip_268_410_merged.tif,0.4,15,31.4676
chip_268_410_merged.tif,0.4,16,30.5351
chip_268_410_merged.tif,0.4,17,31.4886
chip_268_410_merged.tif,0.4,18,30.7026
chip_268_410_merged.tif,0.4,19,30.0195
chip_268_410_merged.tif,0.4,20,31.0749
chip_268_410_merged.tif,0.4,21,31.4021
chip_268_410_merged.tif,0.4,22,30.8121
chip_268_410_merged.tif,0.4,23,31.9519
chip_268_410_merged.tif,0.4,24,29.9725
chip_268_410_merged.tif,0.4,25,30.2158
chip_268_410_merged.tif,0.4,26,31.1388
chip_268_410_merged.tif,0.4,27,31.9519
chip_268_410_merged.tif,0.4,28,31.1604
chip_268_410_merged.tif,0.4,29,29.8973
chip_268_410_merged.tif,0.4,30,30.432
chip_268_410_merged.tif,0.4,31,30.4103
chip_268_410_merged.tif,0.4,32,31.0749
chip_268_410_merged.tif,0.4,33,31.1388
chip_268_410_merged.tif,0.4,34,29.9671
chip_268_410_merged.tif,0.4,35,30.1229
chip_268_410_merged.tif,0.4,36,30.3631
chip_268_410_merged.tif,0.4,37,31.4406
chip_268_410_merged.tif,0.4,38,30.9655
chip_268_410_merged.tif,0.4,39,31.1388
chip_268_410_merged.tif,0.4,40,31.2628
chip_268_410_merged.tif,0.4,41,30.4633
chip_268_410_merged.tif,0.4,42,32.1194
chip_268_410_merged.tif,0.4,43,30.9897
chip_268_410_merged.tif,0.4,44,29.7181
