backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block,block_rmse,random_rmse
tiny,chip_116_208_merged.tif,0.2,3,1930439330,39,30.1833,33.467,3.2837,0.030962427309371456,0.02121534018453668
tiny,chip_116_208_merged.tif,0.2,4,1549832699,39,30.1811,32.8784,2.6972,0.030970270601213292,0.02270283014954566
tiny,chip_116_208_merged.tif,0.4,0,863499129,78,29.3271,32.6812,3.3541,0.03417000166809923,0.023224159205755972
tiny,chip_116_208_merged.tif,0.4,1,482892498,78,28.9952,31.5555,2.5603,0.03550095205466712,0.026437780954839993
tiny,chip_116_208_merged.tif,0.4,2,2946980,78,29.1251,32.2509,3.1258,0.034973975381552135,0.02440366193154421
tiny,chip_116_208_merged.tif,0.4,3,1769823997,78,28.612,32.9564,4.3444,0.03710222886174653,0.02249986954165028
tiny,chip_116_208_merged.tif,0.4,4,1289878479,78,29.5176,32.2861,2.7685,0.03342873942868173,0.02430496499934176
tiny,chip_116_208_merged.tif,0.6,0,120200922,117,28.9604,31.8016,2.8412,0.03564347186228877,0.025699223419747116
tiny,chip_116_208_merged.tif,0.6,1,1887077939,117,29.4045,31.6879,2.2834,0.03386686526675677,0.0260378427594047
tiny,chip_116_208_merged.tif,0.6,2,1407132421,117,28.566,31.4392,2.8732,0.03729924147524736,0.026794150967049766
tiny,chip_116_208_merged.tif,0.6,3,1026525790,117,29.9353,31.6502,1.7148,0.0318592098112294,0.026151102323063644
tiny,chip_116_208_merged.tif,0.6,4,546580272,117,28.6081,32.129,3.5209,0.03711889165492106,0.02474856373302265
tiny,chip_116_208_merged.tif,0.8,0,1785092374,156,28.9427,29.6501,0.7074,0.03571617975112384,0.03292266629495558
tiny,chip_116_208_merged.tif,0.8,1,1404485743,156,28.9525,30.4544,1.5019,0.035675905099564184,0.030010967739849435
tiny,chip_116_208_merged.tif,0.8,2,924540225,156,28.7172,30.5049,1.7878,0.03665557192070289,0.029836989399811047
tiny,chip_116_208_merged.tif,0.8,3,543933594,156,28.1311,30.2478,2.1167,0.039214348128248394,0.030733356945591327
tiny,chip_116_208_merged.tif,0.8,4,163326963,156,28.7275,29.6915,0.964,0.03661213035763451,0.03276611868366147
tiny,chip_116_346_merged.tif,0.2,0,659635090,39,34.7519,35.5547,0.8028,0.01829805800591944,0.01668264852316933
tiny,chip_116_346_merged.tif,0.2,1,279028459,39,34.6986,35.5698,0.8712,0.018410687227731388,0.016653671738398344
tiny,chip_116_346_merged.tif,0.2,2,2045905476,39,33.091,35.3937,2.3028,0.022153890255428185,0.016994758596897933
tiny,chip_116_346_merged.tif,0.2,3,1565959958,39,31.6569,35.0392,3.3823,0.026130938029733236,0.017702719988856176
tiny,chip_116_346_merged.tif,0.2,4,1185353327,39,30.4391,34.3053,3.8663,0.030063877973576503,0.019263491250667404
tiny,chip_116_346_merged.tif,0.4,0,1841182555,78,32.1875,35.2209,3.0334,0.024582440689201974,0.017336243566554013
tiny,chip_116_346_merged.tif,0.4,1,1361237037,78,31.9152,35.1397,3.2245,0.02536529981524261,0.017499071272318933
tiny,chip_116_346_merged.tif,0.4,2,980630406,78,31.649,34.9622,3.3131,0.026154715480948467,0.01786035142788998
tiny,chip_116_346_merged.tif,0.4,3,600023775,78,34.8279,35.1687,0.3408,0.018138651636448413,0.017440743701096967
tiny,chip_116_346_merged.tif,0.4,4,120078257,78,32.0265,35.3239,3.2974,0.02504234532396549,0.017131879064069447
tiny,chip_116_346_merged.tif,0.6,0,1903205198,117,31.9639,34.9006,2.9367,0.025223479736194803,0.017987466578199312
tiny,chip_116_346_merged.tif,0.6,1,1522598567,117,33.9631,35.0057,1.0426,0.020037567575644188,0.01777112820556926
tiny,chip_116_346_merged.tif,0.6,2,1042653049,117,32.0274,34.4555,2.4281,0.02503975066249581,0.018933242611460826
tiny,chip_116_346_merged.tif,0.6,3,662046418,117,33.426,34.3163,0.8903,0.021315719667169112,0.019239110986488873
tiny,chip_116_346_merged.tif,0.6,4,182100900,117,33.4018,34.5282,1.1264,0.021375190798395515,0.018775434663856474
tiny,chip_116_346_merged.tif,0.8,0,1420613002,156,33.4646,33.7321,0.2675,0.021221203009604808,0.020577613224882663
tiny,chip_116_346_merged.tif,0.8,1,1040006371,156,33.1116,34.1137,1.002,0.022101410957644424,0.019693141435407988
tiny,chip_116_346_merged.tif,0.8,2,659399740,156,33.401,34.2457,0.8447,0.021377159616889248,0.01939612614776049
tiny,chip_116_346_merged.tif,0.8,3,179454222,156,33.4327,33.9536,0.5209,0.021299283785476346,0.0200594952119821
tiny,chip_116_346_merged.tif,0.8,4,1946331239,156,32.921,33.4007,0.4797,0.022591756580383714,0.021377897970576074
tiny,chip_116_447_merged.tif,0.2,0,1584613223,39,33.5805,36.4955,2.915,0.020939919125173446,0.014970110291617668
tiny,chip_116_447_merged.tif,0.2,1,1104667705,39,35.4656,36.1739,0.7083,0.016854660149178233,0.01553477616345638
tiny,chip_116_447_merged.tif,0.2,2,724061074,39,35.033,36.6824,1.6494,0.017715360725744214,0.014651429510626951
tiny,chip_116_447_merged.tif,0.2,3,343454443,39,34.9771,36.3412,1.3641,0.01782973958225272,0.015238422126721817
tiny,chip_116_447_merged.tif,0.2,4,2010992573,39,35.1669,36.195,1.0281,0.017444358367303597,0.015497084460909727
tiny,chip_116_447_merged.tif,0.4,0,519338153,78,34.9269,36.6988,1.7719,0.017933084711947,0.014623791956534399
tiny,chip_116_447_merged.tif,0.4,1,138731522,78,34.6713,35.2859,0.6146,0.018468643576711925,0.01720699371199873
tiny,chip_116_447_merged.tif,0.4,2,1905608539,78,34.269,36.6377,2.3688,0.01934416553735685,0.014727024184091239
tiny,chip_116_447_merged.tif,0.4,3,1425663021,78,33.842,36.9392,3.0971,0.020318890973131335,0.014224597944783417
tiny,chip_116_447_merged.tif,0.4,4,1045056390,78,34.7964,36.7063,1.9099,0.018204552178197834,0.014611170209554006
tiny,chip_116_447_merged.tif,0.6,0,680699683,117,33.8782,36.5071,2.6289,0.020234384577632606,0.01495013106308776
tiny,chip_116_447_merged.tif,0.6,1,200754165,117,34.4972,36.154,1.6568,0.01884256404096035,0.015570408259018372
tiny,chip_116_447_merged.tif,0.6,2,1967631182,117,34.6462,36.2145,1.5683,0.01852209042072665,0.015462332213486403
tiny,chip_116_447_merged.tif,0.6,3,1487685664,117,35.1762,36.6479,1.4717,0.017425690652284494,0.014709740119136507
tiny,chip_116_447_merged.tif,0.6,4,1107079033,117,34.7433,36.6479,1.9046,0.018316184097171104,0.014709740119136507
tiny,chip_116_447_merged.tif,0.8,0,198107487,156,34.5325,35.0403,0.5077,0.01876614207648701,0.01770047821975708
