tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,31,0.032430902,0.040273685,27.899572
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,32,0.036972716,0.04484066,26.96656
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,33,0.029874887,0.038060203,28.390577
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,34,0.033777773,0.041426655,27.654402
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,35,0.033214275,0.04080046,27.786697
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,36,0.028067797,0.036096,28.850819
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,37,0.04707551,0.05574068,25.076553
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,38,0.034915548,0.042950936,27.340548
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,39,0.033021484,0.039923593,27.975407
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,40,0.037312493,0.044609193,27.011513
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,41,0.031542856,0.039439764,28.081314
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,42,0.04655949,0.05494967,25.200699
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,43,0.036836598,0.045325242,26.873198
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,44,0.042239435,0.051609963,25.74533
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,45,0.024500266,0.030735418,30.24722
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,46,0.03366597,0.04182008,27.572304
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,47,0.04237594,0.049938373,26.031313
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,48,0.030555725,0.039150592,28.145235
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,49,0.024721162,0.03101004,30.169954
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,0,0.013676846,0.019384425,34.250942
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,1,0.018268742,0.022616608,32.91145
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,2,0.018042037,0.022385176,33.00079
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,3,0.014399943,0.019679531,34.119705
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,4,0.014353281,0.020004362,33.977505
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,5,0.018156713,0.022469612,32.968086
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,6,0.015250322,0.021048743,33.535477
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,7,0.0130240265,0.018624056,34.598515
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,8,0.014256614,0.020176204,33.90321
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,9,0.013901157,0.019737037,34.09436
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,10,0.014429813,0.01983027,34.05343
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,11,0.018004883,0.022355743,33.01222
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,12,0.015255333,0.02162257,33.301853
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,13,0.0142427925,0.019605435,34.15247
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,14,0.017938154,0.022235053,33.05924
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,15,0.016126534,0.021833293,33.217617
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,16,0.013102217,0.018730847,34.54885
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,17,0.041091274,0.04296435,27.337835
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,18,0.01326667,0.018939538,34.452614
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,19,0.012856692,0.018385453,34.71051
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,20,0.014260712,0.020183481,33.900078
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,21,0.013731238,0.01960996,34.150467
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,22,0.025053436,0.029372955,30.641048
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,23,0.02739206,0.030551717,30.299286
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,24,0.014285635,0.019893818,34.02564
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,25,0.041120026,0.042993896,27.331865
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,26,0.014758023,0.020058194,33.954163
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,27,0.030269202,0.03322239,29.571383
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,28,0.04616828,0.048657365,26.257029
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,29,0.015516437,0.02132698,33.421413
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,30,0.038996123,0.041138995,27.714928
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,31,0.057655487,0.062241137,24.11845
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,32,0.016261289,0.022074485,33.12219
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,33,0.025626283,0.029832685,30.506153
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,34,0.014195015,0.020220192,33.884293
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,35,0.04559192,0.047645874,26.439495
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,36,0.026342314,0.029662307,30.5559
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,37,0.035371654,0.037684795,28.476677
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,38,0.013610241,0.019423934,34.233253
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,39,0.014370904,0.020009631,33.975216
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,40,0.012831008,0.018382942,34.7117
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,41,0.018378798,0.02266389,32.89331
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,42,0.03894388,0.04108738,27.72583
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,43,0.013621726,0.019189192,34.338867
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,44,0.018006293,0.0223528,33.013363
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,45,0.014312248,0.019924976,34.012043
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,46,0.013878185,0.019711632,34.10555
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,47,0.014700663,0.020801624,33.638054
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,48,0.013215995,0.018871557,34.483845
PACE_OCI.20241210T005032.L1B.V3_image_146,contiguous,0.05,49,0.058997095,0.06415376,23.855556
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,0,0.01706728,0.022617549,32.911087
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,1,0.019707466,0.026033271,31.689425
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,2,0.020614298,0.025418172,31.897114
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,3,0.019496482,0.024616525,32.175465
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,4,0.01574954,0.021323938,33.422653
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,5,0.017122952,0.022066928,33.12516
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,6,0.016371861,0.022126477,33.101753
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,7,0.015066599,0.02050818,33.76146
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,8,0.019487971,0.025190422,31.97529
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,9,0.017933728,0.023533138,32.566406
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,10,0.021353884,0.026978338,31.379696
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,11,0.022216244,0.028102275,31.025171
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,12,0.021767626,0.027993802,31.058762
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,13,0.021120816,0.025971306,31.710125
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,14,0.016877351,0.022203907,33.07141
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,15,0.016038254,0.0211971,33.474472
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,16,0.016439388,0.022330785,33.02192
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,17,0.015703794,0.021203198,33.471973
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,18,0.018609295,0.024204222,32.322178
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,19,0.019147152,0.024059925,32.374115
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,20,0.016440567,0.022867078,32.815784
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,21,0.017218972,0.0234494,32.597366
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,22,0.019709883,0.025854923,31.749134
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,23,0.020425426,0.02571605,31.795914
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,24,0.01899643,0.024550721,32.198715
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,25,0.016414378,0.022494148,32.958607
PACE_OCI.20241210T005032.L1B.V3_image_146,scattered,0.05,26,0.022418277,0.027348785,31.261238
