tile,variance_score,mean_radiance
cvpr_dataset/hsi/PACE_OCI.20250428T233736.L1B.V3_image_078.npy,0.18820,0.73776
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_101.npy,0.18979,0.62457
cvpr_dataset/hsi/PACE_OCI.20250320T000144.L1B.V3_image_004.npy,0.19175,0.25722
cvpr_dataset/hsi/PACE_OCI.20240610T021033.L1B.V3_image_166.npy,0.19676,0.24677
cvpr_dataset/hsi/PACE_OCI.20241210T002532.L1B.V3_image_069.npy,0.20454,0.70674
cvpr_dataset/hsi/PACE_OCI.20250320T003644.L1B.V3_image_102.npy,0.20843,0.68216
cvpr_dataset/hsi/PACE_OCI.20250220T002538.L1B.V3_image_144.npy,0.21545,0.67226
cvpr_dataset/hsi/PACE_OCI.20241110T015536.L1B.V3_image_208.npy,0.22601,0.29796
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_181.npy,0.24683,0.64180
cvpr_dataset/hsi/PACE_OCI.20240510T002914.L1B.V3_image_014.npy,0.28179,0.36480
