tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,4,0.00045237332702642986,0.0021463056533929012,53.36616860984759
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,5,0.0004918763613747799,0.0023074934142423733,52.73719059617993
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,6,0.0006149274470529754,0.0018503198437310484,54.65506387127818
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,7,0.00039631521555465003,0.0013675027771618163,57.28143566033191
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,8,0.0005604290445715555,0.0023092562759617565,52.73055734806669
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,9,0.0005505608225416658,0.0021306564405153185,53.42973145636991
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,0,0.010901601008238886,0.011850993906551154,38.52490450357597
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,1,0.039637936061079425,0.04417051610890532,27.097350524254797
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,2,0.010901601008238886,0.011850993906551154,38.52490450357597
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,3,0.03993481251348671,0.04517060085140168,26.90288264982474
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,4,0.021749601992201037,0.025050055308804373,32.02382621806483
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,5,0.027224359718653297,0.03508148056126538,29.098441723440885
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,6,0.032507565176713896,0.03585789585702328,28.90830396892615
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,7,0.01185001489672012,0.012903128108651917,37.7860998162789
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,8,0.02042311003135659,0.023471236769922972,32.58928051037038
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.6,9,0.012843471623251852,0.013978753064268969,37.09063133784354
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,0,0.0005680068719824283,0.0021500299720020057,53.35110971718227
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,1,0.0006770805164800388,0.0018499846244770177,54.656637621480655
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,2,0.0010075249125734258,0.0032750121320303345,49.695741737174835
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,3,0.0012959218639383647,0.006358089588137989,43.93346713974968
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,4,0.0006801793690092114,0.0022623717437310455,52.908720640852714
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,5,0.005634987863871805,0.14520707650103115,16.760244365492433
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,6,0.0010003112577651558,0.0032805851418926816,49.68097372802034
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,7,0.0005919678083275903,0.002051974980361782,53.75655877721866
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,8,0.0029287075509390205,0.009960540152147243,40.03434218988719
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.6,9,0.0028686422529019024,0.012770690410488015,37.87571246450457
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,0,0.06156584060317334,0.06851861099629097,23.283828991994092
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,1,0.048634451718445604,0.05285022110163755,25.53906382918587
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,2,0.12873930943193557,0.20347431109408345,13.829808264826406
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,3,0.05016534506505508,0.08551209935542183,21.359448626716887
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,4,0.06572635999164565,0.06819827826699017,23.324531787980128
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,5,0.04735227543486525,0.04933906552456045,26.136181604980013
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,6,0.05088653087624086,0.055383853211111764,25.13233664890909
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,7,0.04773443540053396,0.05185545501222053,25.70411101227135
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,8,0.05781367530504627,0.06385437706521063,23.896186550591075
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.8,9,0.05541814670611613,0.06247074539084698,24.086466241828592
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,0,0.002524866695825319,0.010751135807010346,39.370913043041746
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,1,0.0011518600648855776,0.0032872437389007887,49.66336186278399
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,2,0.002062159419992537,0.006096284602797608,44.298695326350256
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,3,0.0023146612457159927,0.007981589046763887,41.958212735543306
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,4,0.004410291121130869,0.019992288578092418,33.982749760512675
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,5,0.008125380514362237,0.1274329559180973,17.894364858772892
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,6,0.0017248644362764787,0.008172173875533954,41.753248033201004
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,7,0.003518161621077165,0.01410865971979167,37.01028481909526
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,8,0.0024934198074429465,0.012175758469179952,38.29007951196735
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.8,9,0.004234839511376978,0.020224260817317794,33.88254685174422
PACE_OCI.20240710T001144.L1B.V3_image_020,contiguous,0.2,0,0.023787102642190132,0.030099762602101694,30.428738593773517
