tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,29,0.022467889,0.028201306,30.994616
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,30,0.02029446,0.025632132,31.824305
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,31,0.014958798,0.01894824,34.44862
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,32,0.050645504,0.057975017,24.735182
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,33,0.018709479,0.023644255,32.525486
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,34,0.019741602,0.024870697,32.086243
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,35,0.054171458,0.061451517,24.229347
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,36,0.056775223,0.06434555,23.82963
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,37,0.017242929,0.021519188,33.343483
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,38,0.020179452,0.025433453,31.891895
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,39,0.051547565,0.058995966,24.583553
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,40,0.05070192,0.05811671,24.713978
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,41,0.14549054,0.15412968,16.242273
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,42,0.031349994,0.038854934,28.211077
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,43,0.045805637,0.049514804,26.105299
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,44,0.057384863,0.065096006,23.728914
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,45,0.015270874,0.01933679,34.272312
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,46,0.01437217,0.018220589,34.78875
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,47,0.046462376,0.05386507,25.373856
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,48,0.035552904,0.04317242,27.295874
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,49,0.015557067,0.019716103,34.10358
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,0,0.030505719,0.038119193,28.377125
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,1,0.029218659,0.036252122,28.813332
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,2,0.026320715,0.033041228,29.618876
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,3,0.027497437,0.034597304,29.219154
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,4,0.022064384,0.028474908,30.910755
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,5,0.1514426,0.16398919,15.703696
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.4,6,0.026327087,0.033124357,29.597052
