backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
100M,chip_234_445_merged.tif,0.8,3,367750379,12,13,0.7959,0.02258,30.4468,0.7826,0.02392,30.1462,0.7673
100M,chip_234_445_merged.tif,0.8,4,2035288509,12,13,0.7959,0.02327,30.3254,0.7861,0.025863,29.8398,0.7635
100M,chip_249_270_merged.tif,0.2,0,2079017893,3,13,0.199,0.005369,36.4832,0.9642,0.021562,30.0674,0.844
100M,chip_249_270_merged.tif,0.2,1,1599072375,3,13,0.199,0.0046,37.5726,0.9711,0.018937,30.9832,0.8822
100M,chip_249_270_merged.tif,0.2,2,1218465744,3,13,0.199,0.004069,39.2214,0.9793,0.015511,32.9558,0.9257
100M,chip_249_270_merged.tif,0.2,3,837859113,3,13,0.199,0.004249,38.9221,0.9754,0.016391,32.6368,0.9135
100M,chip_249_270_merged.tif,0.2,4,357913595,3,13,0.199,0.002961,41.3611,0.9806,0.011201,35.5217,0.9275
100M,chip_249_270_merged.tif,0.4,0,1918402560,6,13,0.398,0.011595,33.2166,0.9399,0.023313,29.9089,0.8804
100M,chip_249_270_merged.tif,0.4,1,1438457042,6,13,0.398,0.011574,33.3257,0.9351,0.021948,30.2763,0.8873
100M,chip_249_270_merged.tif,0.4,2,1057850411,6,13,0.398,0.010704,33.183,0.9338,0.020521,29.9951,0.8706
100M,chip_249_270_merged.tif,0.4,3,577904893,6,13,0.398,0.009283,34.4717,0.9422,0.018576,31.0832,0.8879
100M,chip_249_270_merged.tif,0.4,4,197298262,6,13,0.398,0.009016,35.037,0.9474,0.017717,31.704,0.901
100M,chip_249_270_merged.tif,0.6,0,1175104353,9,13,0.5969,0.017233,30.9135,0.8944,0.024962,29.152,0.8572
100M,chip_249_270_merged.tif,0.6,1,695158835,9,13,0.5969,0.018173,30.8647,0.8894,0.025533,29.3416,0.851
100M,chip_249_270_merged.tif,0.6,2,314552204,9,13,0.5969,0.016727,31.4461,0.9012,0.022542,30.0362,0.8676
100M,chip_249_270_merged.tif,0.6,3,1982090334,9,13,0.5969,0.016923,31.0939,0.8938,0.023484,29.3502,0.8532
100M,chip_249_270_merged.tif,0.6,4,1601483703,9,13,0.5969,0.018954,30.6808,0.9001,0.028319,28.7872,0.8579
100M,chip_249_270_merged.tif,0.8,0,692512157,12,13,0.7959,0.030521,27.5863,0.8143,0.032108,27.2508,0.8021
100M,chip_249_270_merged.tif,0.8,1,212566639,12,13,0.7959,0.028194,28.2532,0.8151,0.030103,27.9648,0.8094
100M,chip_249_270_merged.tif,0.8,2,1979443656,12,13,0.7959,0.028536,27.3713,0.8235,0.032478,26.7949,0.8038
100M,chip_249_270_merged.tif,0.8,3,1598837025,12,13,0.7959,0.027863,28.0976,0.822,0.03035,27.7043,0.8068
100M,chip_249_270_merged.tif,0.8,4,1118891507,12,13,0.7959,0.027362,28.5134,0.8295,0.031097,27.9003,0.8138
100M,chip_105_104_merged.tif,0.2,0,1575343414,3,13,0.199,0.005519,37.1596,0.9566,0.02166,30.7483,0.8174
100M,chip_105_104_merged.tif,0.2,1,1194736783,3,13,0.199,0.005239,37.5383,0.9623,0.01576,32.8334,0.883
100M,chip_105_104_merged.tif,0.2,2,714791265,3,13,0.199,0.005391,36.8561,0.9574,0.023444,30.1194,0.8032
100M,chip_105_104_merged.tif,0.2,3,334184634,3,13,0.199,0.004884,37.8186,0.9656,0.016957,32.1047,0.8723
100M,chip_105_104_merged.tif,0.2,4,2001722764,3,13,0.199,0.005034,38.0693,0.9651,0.016788,32.6652,0.8826
100M,chip_105_104_merged.tif,0.4,0,1414728081,6,13,0.398,0.013553,32.1511,0.9062,0.025618,29.0265,0.8265
100M,chip_105_104_merged.tif,0.4,1,934782563,6,13,0.398,0.011573,33.43,0.9117,0.022082,30.4236,0.8339
100M,chip_105_104_merged.tif,0.4,2,554175932,6,13,0.398,0.012084,32.8979,0.9035,0.026094,29.2858,0.7902
100M,chip_105_104_merged.tif,0.4,3,173569301,6,13,0.398,0.013609,32.0777,0.8957,0.0293,28.468,0.7725
100M,chip_105_104_merged.tif,0.4,4,1841107431,6,13,0.398,0.010438,34.1265,0.9215,0.019396,31.1796,0.8588
100M,chip_105_104_merged.tif,0.6,0,671429874,9,13,0.5969,0.021282,29.6237,0.8298,0.030396,27.9441,0.7587
100M,chip_105_104_merged.tif,0.6,1,191484356,9,13,0.5969,0.019597,30.3278,0.8255,0.027997,28.6109,0.7565
100M,chip_105_104_merged.tif,0.6,2,1958361373,9,13,0.5969,0.020933,29.9001,0.8207,0.028781,28.3817,0.7541
100M,chip_105_104_merged.tif,0.6,3,1577754742,9,13,0.5969,0.020421,30.0885,0.8242,0.027924,28.4744,0.7605
100M,chip_105_104_merged.tif,0.6,4,1097809224,9,13,0.5969,0.020862,30.0254,0.8236,0.028374,28.5283,0.7626
100M,chip_105_104_merged.tif,0.8,0,188837678,12,13,0.7959,0.030128,27.5522,0.7259,0.034035,26.9253,0.6922
100M,chip_105_104_merged.tif,0.8,1,1955714695,12,13,0.7959,0.031165,27.5509,0.7212,0.033805,27.1919,0.7015
100M,chip_105_104_merged.tif,0.8,2,1475769177,12,13,0.7959,0.038645,25.7076,0.6772,0.042687,25.2037,0.6553
100M,chip_105_104_merged.tif,0.8,3,1095162546,12,13,0.7959,0.03357,26.7864,0.7127,0.037282,26.3713,0.6796
100M,chip_105_104_merged.tif,0.8,4,615217028,12,13,0.7959,0.039599,25.9641,0.6626,0.043223,25.5512,0.6355
100M,chip_138_474_merged.tif,0.2,0,672506135,3,13,0.199,0.007203,36.318,0.9406,0.023833,30.7292,0.8019
100M,chip_138_474_merged.tif,0.2,1,291899504,3,13,0.199,0.005145,38.398,0.9532,0.017963,32.7871,0.831
100M,chip_138_474_merged.tif,0.2,2,1959437634,3,13,0.199,0.005625,37.3934,0.9538,0.02267,31.1393,0.8164
100M,chip_138_474_merged.tif,0.2,3,1578831003,3,13,0.199,0.005425,37.5681,0.9547,0.01874,32.2458,0.8427
100M,chip_138_474_merged.tif,0.2,4,1098885485,3,13,0.199,0.006485,36.9678,0.9416,0.020212,31.6733,0.8142
100M,chip_138_474_merged.tif,0.4,0,511890802,6,13,0.398,0.014258,32.8103,0.8801,0.027122,29.8441,0.7801
100M,chip_138_474_merged.tif,0.4,1,31945284,6,13,0.398,0.014044,32.8536,0.8798,0.026935,29.8959,0.7778
100M,chip_138_474_merged.tif,0.4,2,1798822301,6,13,0.398,0.012692,33.4891,0.8867,0.023046,30.6919,0.7976
100M,chip_138_474_merged.tif,0.4,3,1418215670,6,13,0.398,0.0126,33.5136,0.8815,0.021993,31.0518,0.7857
100M,chip_138_474_merged.tif,0.4,4,938270152,6,13,0.398,0.012531,33.2103,0.8864,0.022786,30.4244,0.7917
100M,chip_138_474_merged.tif,0.6,0,1916076243,9,13,0.5969,0.019567,30.9495,0.8126,0.026526,29.5269,0.7513
100M,chip_138_474_merged.tif,0.6,1,1436130725,9,13,0.5969,0.020864,30.7361,0.8062,0.02731,29.4879,0.753
100M,chip_138_474_merged.tif,0.6,2,1055524094,9,13,0.5969,0.021341,30.4466,0.8072,0.02861,29.0449,0.7456
100M,chip_138_474_merged.tif,0.6,3,674917463,9,13,0.5969,0.020539,30.5886,0.8095,0.028382,29.0289,0.7487
100M,chip_138_474_merged.tif,0.6,4,194971945,9,13,0.5969,0.019154,31.3637,0.8182,0.025445,30.0218,0.7617
