chip,rank,role,ratio,mask_type,trial,psnr
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,48,38.9264
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,49,38.5403
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,0,35.0298
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,1,35.4212
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,2,35.7472
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,3,35.6926
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,4,34.0116
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,5,35.0491
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,6,35.4212
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,7,35.0679
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,8,35.7294
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,9,34.8584
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,10,34.0116
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,11,35.7529
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,12,35.8018
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,13,34.1534
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,14,36.7059
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,15,35.0679
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,16,35.4212
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,17,35.0282
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,18,35.7272
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,19,35.7116
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,20,35.7559
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,21,35.3033
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,22,35.7294
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,23,37.1342
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,24,35.7966
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,25,36.3452
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,26,35.4657
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,27,37.1342
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,28,35.0491
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,29,35.7875
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,30,36.8924
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,31,34.5022
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,32,35.7559
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,33,35.4657
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,34,35.7529
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,35,36.482
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,36,36.3869
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,37,36.814
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,38,36.5724
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,39,35.4657
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,40,34.9098
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,41,34.2421
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,42,36.6936
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,43,35.0128
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,44,35.6822
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,45,35.0679
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,46,34.5022
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,47,36.6936
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,48,36.482
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,49,36.482
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,0,27.0246
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,1,28.3309
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,2,28.1025
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,3,27.6974
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,4,28.1788
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,5,27.3383
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,6,28.0575
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,7,27.0548
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,8,27.6865
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,9,27.6717
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,10,27.1442
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,11,27.8907
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,12,26.3742
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,13,27.3031
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,14,28.2408
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,15,30.2828
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,16,27.1005
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,17,27.4834
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,18,26.5123
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,19,27.8221
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,20,27.7216
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,21,26.1657
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,22,28.2053
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,23,27.9613
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,24,27.6076
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,25,28.1614
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,26,26.6237
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,27,27.1131
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,28,26.9359
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,29,27.3977
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,30,27.8288
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,31,27.716
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,32,27.9486
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,33,28.2218
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,34,27.9489
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,35,27.0862
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,36,28.0527
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,37,30.4376
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,38,28.35
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,39,27.5434
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,40,28.1792
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,41,27.2472
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,42,26.8882
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,43,27.0778
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,44,26.1307
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,45,27.1931
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,46,27.5962
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,47,28.549
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,48,28.2204
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,49,27.7183
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,0,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,1,26.9438
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,2,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,3,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,4,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,5,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,6,26.9438
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,7,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,8,25.6802
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,9,26.1751
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,10,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,11,31.8736
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,12,25.6802
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,13,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,14,30.8493
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,15,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,16,26.9438
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,17,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,18,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,19,27.6395
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,20,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,21,28.1552
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,22,25.6802
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,23,32.0044
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,24,31.6226
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,25,27.6668
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,26,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,27,32.0044
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,28,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,29,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,30,31.8736
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,31,26.1751
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,32,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,33,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,34,31.8736
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,35,32.2329
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,36,30.7343
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,37,32.0044
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,38,31.6226
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,39,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,40,26.9438
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,41,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,42,30.8493
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,43,26.9438
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,44,25.4119
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,45,25.5361
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,46,26.1751
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,47,32.0044
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,48,32.2329
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,49,32.2329
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,0,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,1,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,2,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,3,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,4,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,5,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,6,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,7,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,8,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,9,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,10,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,11,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,12,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,13,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,14,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,15,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,16,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,17,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,18,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,19,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,20,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,21,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,22,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,23,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,24,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,25,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,26,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,27,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,28,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,29,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,30,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,31,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,32,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,33,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,34,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,35,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,36,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,37,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,38,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,39,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,40,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,41,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,42,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,43,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,44,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,45,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,46,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,47,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,48,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,49,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,0,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,1,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,2,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,3,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,4,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,5,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,6,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,7,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,8,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,9,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,10,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,11,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,12,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,13,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,14,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,15,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,16,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,17,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,18,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,19,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,20,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,21,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,22,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,23,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,24,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,25,22.0247
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,26,22.0247
