chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
13,tiny,0.2,0.001737,43.1819,0.985357,0.009728,35.7,0.916152,0.08
13,tiny,0.3,0.003865,38.5983,0.966478,0.011654,33.8049,0.891338,0.1
13,tiny,0.4,0.003603,39.1848,0.967471,0.010386,34.5873,0.897772,0.1
13,tiny,0.5,0.006015,36.1221,0.942593,0.01228,33.0223,0.872228,0.12
13,tiny,0.6,0.008122,34.57,0.920792,0.013491,32.3663,0.861835,0.14
13,tiny,0.7,0.009675,33.4172,0.903947,0.014365,31.7003,0.848592,0.16
13,tiny,0.8,0.016327,29.8314,0.840764,0.019632,29.0307,0.799086,0.18
13,tiny,0.9,0.0209,28.4554,0.789409,0.023013,28.037,0.7598,0.19
14,tiny,0.1,0.001095,45.8846,0.991889,0.010217,36.1842,0.925484,0.06
14,tiny,0.2,0.002069,43.3664,0.986237,0.00901,36.976,0.939023,0.08
14,tiny,0.3,0.003036,40.3459,0.978308,0.011019,34.7473,0.91404,0.09
14,tiny,0.4,0.004774,38.1678,0.965939,0.010879,34.5902,0.918552,0.12
14,tiny,0.5,0.005744,37.0263,0.957527,0.011978,33.835,0.904538,0.12
14,tiny,0.6,0.009417,33.4715,0.928553,0.014766,31.518,0.880235,0.15
14,tiny,0.7,0.012403,32.1617,0.910076,0.018008,30.5424,0.864409,0.16
14,tiny,0.8,0.017899,30.1149,0.870874,0.022634,29.0957,0.832834,0.17
14,tiny,0.9,0.029979,26.3776,0.790828,0.032644,26.0077,0.77332,0.19
15,tiny,0.1,0.001467,42.8851,0.988272,0.012497,33.5798,0.891228,0.06
15,tiny,0.2,0.003617,38.2104,0.969206,0.014468,32.1898,0.86886,0.08
15,tiny,0.3,0.00415,37.3895,0.962877,0.013787,32.1755,0.866583,0.09
15,tiny,0.4,0.005517,36.4319,0.948638,0.014043,32.3742,0.859593,0.11
15,tiny,0.5,0.009376,33.4694,0.915462,0.015842,31.1914,0.844654,0.14
15,tiny,0.6,0.01057,32.4814,0.904758,0.017859,30.2035,0.826414,0.14
15,tiny,0.7,0.013397,31.5191,0.877106,0.019027,29.9953,0.812314,0.16
15,tiny,0.8,0.017194,30.0891,0.835407,0.021883,29.0418,0.775946,0.17
15,tiny,0.9,0.029989,26.1897,0.735287,0.032837,25.7957,0.699921,0.19
16,tiny,0.1,0.000315,53.0777,0.997711,0.007717,39.186,0.943885,0.05
16,tiny,0.2,0.001466,45.4061,0.988225,0.009269,37.3972,0.925856,0.07
16,tiny,0.3,0.003111,41.6131,0.974749,0.009381,36.8197,0.918429,0.1
16,tiny,0.4,0.004526,39.4465,0.959823,0.010315,35.8689,0.900071,0.12
16,tiny,0.5,0.005545,38.23,0.953533,0.010552,35.4358,0.900278,0.13
16,tiny,0.6,0.008251,35.3326,0.925882,0.012734,33.4481,0.874014,0.15
16,tiny,0.7,0.010134,34.2274,0.902563,0.014188,32.7661,0.853172,0.16
16,tiny,0.8,0.015211,31.312,0.858226,0.018518,30.4577,0.813059,0.18
16,tiny,0.9,0.022263,29.3693,0.791708,0.024653,28.9265,0.763433,0.19
17,tiny,0.1,0.000563,52.8077,0.997052,0.004794,43.5024,0.975812,0.06
17,tiny,0.2,0.001152,48.3934,0.992664,0.005252,41.8056,0.966617,0.08
17,tiny,0.3,0.001338,47.9598,0.992481,0.00535,41.9392,0.967793,0.09
