tile,mask_type,ratio,trial,cubic_mae,cubic_rmse,cubic_psnr,cubic_mae_tailexcl,cubic_rmse_tailexcl,cubic_psnr_tailexcl,linear_mae_forcompare,linear_rmse_forcompare
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,44,0.03037068210824137,0.22046355893680034,13.133263721253073,0.0004332676321406667,0.0008552567829910617,61.35806945530682,0.006510199842135456,0.035271324877303896
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,45,0.00040397981441386664,0.0009076312551819813,60.84181114337213,0.0003598645656701814,0.000764826870772523,62.328737246667636,0.0010383509844861625,0.0022212085604702727
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,46,0.001355795145067829,0.004562789937062704,46.8153904986406,0.001355795145067829,0.004562789937062704,46.8153904986406,0.0015408842610332928,0.0037596200504643297
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,47,0.038279410650480294,0.37852875151668536,8.438022553089848,0.0007490307523563938,0.0019543657370941965,54.17988319577794,0.0010327449377972157,0.002100760647654963
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,48,0.019139511835332516,0.1808911638328023,14.851652940568307,0.000911812001072237,0.0017612686596629762,55.083487854989016,0.0014565507798692408,0.0028385135907997164
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,49,0.000980403175144337,0.002642212155474994,51.560646276042974,0.0009804031751443373,0.002642212155474994,51.560646276042974,0.000982091398159456,0.002882705933623258
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,0,0.011349652932306178,0.013604486747716145,37.32635676138802,0.011349652932306178,0.013604486747716145,37.32635676138802,0.041286196322486736,0.045273862180972374
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,1,0.016228444603496615,0.019355021730179302,34.264126735113734,0.016228444603496615,0.019355021730179302,34.264126735113734,0.014325719029357909,0.015434720953380495
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,2,0.014149450045946784,0.01678967108144457,35.499156236754025,0.014149450045946784,0.01678967108144457,35.499156236754025,0.022580029656659548,0.024604335709130162
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,3,0.043057946752703996,0.05922011572556772,24.550614965301712,0.043057946752703996,0.05922011572556772,24.550614965301712,0.01969588651032047,0.026205003348379916
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,4,0.05392615714865428,0.06345757159023252,23.950331032087252,0.05392615714865428,0.06345757159023252,23.950331032087252,0.016192807179420367,0.018181769131667934
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,5,0.006312470333215803,0.007819222127344939,42.136728986386075,0.006312470333215803,0.007819222127344939,42.136728986386075,0.03364462840212399,0.037665919936982886
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,6,0.020714253509716406,0.024852441937674153,32.092618643278314,0.020714253509716406,0.024852441937674153,32.092618643278314,0.021867316337698135,0.023719514525144154
