tile,mask_type,ratio,trial,mae,rmse,psnr,mae_tailexcl,rmse_tailexcl,psnr_tailexcl,o2a_mae,o2a_n_masked,tail_mae,tail_n_masked,tile_radiance_min,tile_radiance_max
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,9,0.00235413064636307,0.004847156875940617,46.29025848628409,0.0023504322539065472,0.004866204149662825,46.25619350525879,0.009768854158039512,1,0.0025649390163848696,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,10,0.002710580002020549,0.015300592322386576,36.30583512565495,0.0007291234809925302,0.0012802525639255538,57.85408691486871,0.0017011587307922305,1,0.11565360170061763,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,11,0.0008065031638043175,0.0018490774815673476,54.660897805890336,0.0008065031638043176,0.0018490774815673476,54.660897805890336,0.00023741075813135353,1,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,12,0.0032141154162364997,0.015628890974629956,36.12143676807026,0.0010665310682908087,0.0023911641767003144,52.42781208632363,nan,0,0.04258649512857419,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,13,0.0010564860594204583,0.001950293612957209,54.1980000303074,0.0010264303431503816,0.0019020548165690763,54.415539419997174,0.00023741075813135353,1,0.0027696618868148287,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,14,0.0029674977464522246,0.015345507421150557,36.2803749285308,0.0009226732503095835,0.0016095807267483963,55.8657447374154,nan,0,0.06022258363844619,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,15,0.008599095787957816,0.041005407324288805,27.743177394261135,0.003941743800912167,0.019618263881654722,34.14678856295252,nan,0,0.27406815904955983,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,16,0.0010381847656602292,0.0022783773765432144,52.847486808154294,0.0009402408740214948,0.002148517067746618,53.3572238389152,0.00023741075813135353,1,0.003780613731544789,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,17,0.004151494835348448,0.020752398937128803,33.658633848977516,0.004151494835348447,0.020752398937128807,33.658633848977516,0.009768854158039512,1,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,18,0.0040017917072242,0.016126722831154666,35.849077563502235,0.0019594514676251674,0.0047910610310467755,46.39136593671721,0.011377576203381801,4,0.04144469609987314,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,19,0.0008063680366154685,0.0016695223073295423,55.54815547486483,0.0008063680366154685,0.0016695223073295421,55.548155474864835,0.00807332414256486,1,nan,0,0.0017520143883302808,0.4716784954071045
