tile,tile_had_nan,trial,mask_type,mask_ratio,n_bands_masked,mae,rmse,psnr_db,n_values_excluded_nan,n_values_total
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,5,contiguous,0.2,58,0.007473252578875269,0.008580721097657503,41.32952427665217,580,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,5,scattered,0.2,58,0.0008063711357856593,0.005481210104640759,45.222471006404035,105,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,6,contiguous,0.2,58,0.004379009041872218,0.007952198722822686,41.9902555119861,444,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,6,scattered,0.2,58,0.0010983306463086212,0.004915407856435092,46.16880881421459,57,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,7,contiguous,0.2,58,0.005584261168911295,0.014074654649485693,37.03124505303179,322,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,7,scattered,0.2,58,0.0007642266666682096,0.005061511121552488,45.91439609096475,94,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,8,contiguous,0.2,58,0.00807265541624466,0.014560947573938643,36.73620723570395,464,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,8,scattered,0.2,58,0.0012455273311877044,0.006758741243876513,43.40268360111299,88,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,9,contiguous,0.2,58,0.0024468404608041193,0.004070262631089865,47.80755134594657,444,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,9,scattered,0.2,58,0.0011392341826625748,0.009169819800189905,40.75278397482666,123,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,0,contiguous,0.2,58,0.004291670052516525,0.008097923070405093,41.83252706618851,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,0,scattered,0.2,58,0.0006876313156038217,0.002920226727091155,50.691668570332915,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,1,contiguous,0.2,58,0.012732258021303122,0.01385217992270629,37.16963752274169,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,1,scattered,0.2,58,0.0027815515840094187,0.017746205522109516,35.017889862854325,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,2,contiguous,0.2,58,0.004049376415953429,0.0066869101986998586,43.49549018164576,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,2,scattered,0.2,58,0.000751305960859644,0.0027989497135519617,51.06009808157407,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,3,contiguous,0.2,58,0.0038701822705849353,0.004424026052138128,47.08364648458019,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,3,scattered,0.2,58,0.000896132783694535,0.004665682710284787,46.62169597461653,0,534528
